"","no","title","artist","year"
"107","7","Pony Time","Chubby Checker","1961"
"108","8","Wheels","The String-A-Longs","1961"
"109","9","Raindrops","Dee Clark","1961"
"110","10","Wooden Heart","Joe Dowell","1961"
"111","11","Calcutta","Lawrence Welk","1961"
"112","12","Take Good Care of My Baby","Bobby Vee","1961"
"113","13","Running Scared","Roy Orbison","1961"
"114","14","Dedicated to the One I Love","The Shirelles","1961"
"115","15","Last Night","The Mar-Keys","1961"
"116","16","Will You Love Me Tomorrow","The Shirelles","1961"
"117","17","Exodus","Ferrante & Teicher","1961"
"118","18","Where the Boys Are","Connie Francis","1961"
"119","19","Hit the Road Jack","Ray Charles","1961"
"120","20","Sad Movies (Make Me Cry)","Sue Thompson","1961"
"121","21","Mother-in-Law","Ernie K-Doe","1961"
"122","22","Bristol Stomp","The Dovells","1961"
"123","23","Travelin' Man","Ricky Nelson","1961"
"124","24","Shop Around","The Miracles","1961"
"125","25","The Boll Weevil Song","Brook Benton","1961"
"126","26","A Hundred Pounds of Clay","Gene McDaniels","1961"
"127","27","The Mountain's High","Dick and Dee Dee","1961"
"128","28","Don't Worry","Marty Robbins","1961"
"129","29","On the Rebound","Floyd Cramer","1961"
"130","30","Portrait of My Love","Steve Lawrence","1961"
"131","31","Quarter to Three","Gary U.S. Bonds","1961"
"132","32","Who Put the Bomp (in the Bomp, Bomp, Bomp)","Barry Mann","1961"
"133","33","Calendar Girl","Neil Sedaka","1961"
"134","34","I Like It Like That","Chris Kenner","1961"
"135","35","Apache","Jørgen Ingmann","1961"
"136","36","Don't Bet Money Honey","Linda Scott","1961"
"137","37","Without You","Johnny Tillotson","1961"
"138","38","Goodbye Cruel World","James Darren","1961"
"139","39","Little Sister","Elvis Presley","1961"
"140","40","Blue Moon","The Marcels","1961"
"141","41","Daddy's Home","Shep and the Limelites","1961"
"142","42","This Time","Troy Shondell","1961"
"143","43","(I Don't Know Why) But I Do","Clarence ""Frogman"" Henry","1961"
"144","44","Asia Minor","Kokomo","1961"
"145","45","Hello Walls","Faron Young","1961"
"146","46","Runaround Sue","Dion","1961"
"147","47","Yellow Bird","Arthur Lyman","1961"
"148","48","Hurt","Timi Yuro","1961"
"149","49","Hello Mary Lou","Ricky Nelson","1961"
"150","50","There's a Moon Out Tonight","The Capris","1961"
"151","51","Surrender","Elvis Presley","1961"
"152","52","I Love How You Love Me","The Paris Sisters","1961"
"153","53","Ya Ya","Lee Dorsey","1961"
"154","54","School Is Out","Gary U.S. Bonds","1961"
"155","55","Mexico","Bob Moore","1961"
"156","56","You Don't Know What You've Got (Until You Lose It)","Ral Donner","1961"
"157","57","Walk Right Back","The Everly Brothers","1961"
"158","58","The Way You Look Tonight","The Lettermen","1961"
"159","59","Moody River","Pat Boone","1961"
"160","60","One Mint Julep","Ray Charles","1961"
"161","61","Take Good Care of Her","Adam Wade","1961"
"162","62","Gee Whiz (Look at His Eyes)","Carla Thomas","1961"
"163","63","Stand by Me","Ben E. King","1961"
"164","64","Spanish Harlem","Ben E. King","1961"
"165","65","It's Gonna Work Out Fine","Ike and Tina Turner","1961"
"166","66","Baby Blue","The Echoes","1961"
"167","67","Baby Sittin' Boogie","Buzz Clifford","1961"
"168","68","Hats Off to Larry","Del Shannon","1961"
"169","69","Those Oldies But Goodies","Little Caesar & the Romans","1961"
"170","70","The Fly","Chubby Checker","1961"
"171","71","(Marie's the Name) His Latest Flame","Elvis Presley","1961"
"172","72","Wonderland by Night","Bert Kaempfert","1961"
"173","73","Bless You","Tony Orlando","1961"
"174","74","I've Told Every Little Star","Linda Scott","1961"
"175","75","One Track Mind","Bobby Lewis","1961"
"176","76","Angel Baby","Rosie and the Originals","1961"
"177","77","Pretty Little Angel Eyes","Curtis Lee","1961"
"178","78","Think Twice","Brook Benton","1961"
"179","79","Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?)","Lonnie Donegan","1961"
"180","80","Breakin' in a Brand New Broken Heart","Connie Francis","1961"
"181","81","Mama Said","The Shirelles","1961"
"182","82","Let the Four Winds Blow","Fats Domino","1961"
"183","83","The Writing on the Wall","Adam Wade","1961"
"184","84","My Kind of Girl","Matt Monro","1961"
