"","no","title","artist","year"
"1465","64","Radar Love","Golden Earring","1974"
"1466","65","Please Come to Boston","Dave Loggins","1974"
"1467","66","Keep On Smilin'","Wet Willie","1974"
"1468","67","Lookin' for a Love","Bobby Womack","1974"
"1469","68","Put Your Hands Together","The O'Jays","1974"
"1470","69","On and On","Gladys Knight & the Pips","1974"
"1471","70","Oh Very Young","Cat Stevens","1974"
"1472","71","Leave Me Alone (Ruby Red Dress)","Helen Reddy","1974"
"1473","72","Goodbye Yellow Brick Road","Elton John","1974"
"1474","73","(I've Been) Searchin' So Long","Chicago","1974"
"1475","74","Oh My My","Ringo Starr","1974"
"1476","75","For the Love of Money","The O'Jays","1974"
"1477","76","I Shot the Sheriff","Eric Clapton","1974"
"1478","77","Jet","Paul McCartney and Wings","1974"
"1479","78","Don't Let the Sun Go Down on Me","Elton John","1974"
"1480","79","Tubular Bells","Mike Oldfield","1974"
"1481","80","A Love Song","Anne Murray","1974"
"1482","81","I'm Leaving It Up to You","Donny and Marie Osmond","1974"
"1483","82","Hello It's Me","Todd Rundgren","1974"
"1484","83","I Love","Tom T. Hall","1974"
"1485","84","Clap for the Wolfman","The Guess Who featuring Wolfman Jack","1974"
"1486","85","I'll Have to Say I Love You in a Song","Jim Croce","1974"
"1487","Tie","The Lord's Prayer","Sister Janet Mead","1974"
"1488","87","Trying To Hold On To My Woman","Lamont Dozier","1974"
"1489","88","Don't You Worry 'bout a Thing","Stevie Wonder","1974"
"1490","89","A Very Special Love Song","Charlie Rich","1974"
"1491","90","My Girl Bill","Jim Stafford","1974"
"1492","91","Helen Wheels","Paul McCartney and Wings","1974"
"1493","Tie","My Mistake (Was to Love You)","Diana Ross & Marvin Gaye","1974"
"1494","93","Wildwood Weed","Jim Stafford","1974"
"1495","94","Beach Baby","The First Class","1974"
"1496","95","Me and Baby Brother","War","1974"
"1497","96","Rockin' Roll Baby","The Stylistics","1974"
"1498","97","I Honestly Love You","Olivia Newton-John","1974"
"1499","98","Call on Me","Chicago","1974"
"1500","99","Wild Thing","Fancy","1974"
"1501","100","Mighty Love","The Spinners","1974"
"1502","1","Love Will Keep Us Together","Captain & Tennille","1975"
"1503","2","Rhinestone Cowboy","Glen Campbell","1975"
"1504","3","Philadelphia Freedom","Elton John","1975"
"1505","4","Before the Next Teardrop Falls","Freddy Fender","1975"
"1506","5","My Eyes Adored You","Frankie Valli","1975"
"1507","6","Shining Star","Earth, Wind & Fire","1975"
"1508","7","Fame","David Bowie","1975"
"1509","8","Laughter in the Rain","Neil Sedaka","1975"
"1510","9","One of These Nights","Eagles","1975"
"1511","10","Thank God I'm a Country Boy","John Denver","1975"
"1512","11","Jive Talkin'","Bee Gees","1975"
"1513","12","Best of My Love","Eagles","1975"
"1514","13","Lovin' You","Minnie Riperton","1975"
"1515","14","Kung Fu Fighting","Carl Douglas","1975"
"1516","15","Black Water","The Doobie Brothers","1975"
"1517","16","The Ballroom Blitz","Sweet","1975"
"1518","17","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song","B.J. Thomas","1975"
"1519","18","He Don't Love You (Like I Love You)","Tony Orlando and Dawn","1975"
"1520","19","At Seventeen","Janis Ian","1975"
"1521","20","Pick Up the Pieces","Average White Band","1975"
"1522","21","The Hustle","Van McCoy & the Soul City Symphony","1975"
"1523","22","Lady Marmalade","Labelle","1975"
"1524","23","Why Can't We Be Friends","War","1975"
"1525","24","Love Won't Let Me Wait","Major Harris","1975"
"1526","25","Boogie On Reggae Woman","Stevie Wonder","1975"
"1527","26","Wasted Days and Wasted Nights","Freddy Fender","1975"
"1528","27","Fight the Power","The Isley Brothers","1975"
"1529","28","Angie Baby","Helen Reddy","1975"
"1530","29","Jackie Blue","Ozark Mountain Daredevils","1975"
"1531","30","Fire","Ohio Players","1975"
"1532","31","Magic","Pilot","1975"
"1533","32","Please Mr. Postman","The Carpenters","1975"
"1534","33","Sister Golden Hair","America","1975"
"1535","34","Lucy in the Sky with Diamonds","Elton John","1975"
"1536","35","Mandy","Barry Manilow","1975"
"1537","36","Have You Never Been Mellow","Olivia Newton-John","1975"
"1538","37","Could It Be Magic","Barry Manilow","1975"
"1539","38","Cat's in the Cradle","Harry Chapin","1975"
"1540","39","Wildfire","Michael Martin Murphey","1975"
"1541","40","I'm Not Lisa","Jessi Colter","1975"
"1542","41","Listen to What the Man Said","Wings","1975"
"1543","42","I'm Not in Love","10cc","1975"
"1544","43","I Can Help","Billy Swan","1975"
"1545","44","Fallin' in Love","Hamilton, Joe Frank & Reynolds","1975"
"1546","45","Feelings","Morris Albert","1975"
"1547","46","Chevy Van","Sammy Johns","1975"
"1548","47","When Will I Be Loved","Linda Ronstadt","1975"
"1549","48","You're the First, the Last, My Everything","Barry White","1975"
"1550","49","Please Mr. Please","Olivia Newton-John","1975"
"1551","50","You're No Good","Linda Ronstadt","1975"
"1552","51","Dynomite","Bazuka","1975"
"1553","52","Walking in Rhythm","The Blackbyrds","1975"
"1554","53","The Way We Were/Try to Remember","Gladys Knight & the Pips","1975"
"1555","54","Midnight Blue","Melissa Manchester","1975"
"1556","55","Don't Call Us, We'll Call You","Sugarloaf","1975"
"1557","56","Poetry Man","Phoebe Snow","1975"
"1558","57","How Long?","Ace","1975"
"1559","58","Express","B.T. Express","1975"
"1560","59","That's the Way of the World","Earth, Wind & Fire","1975"
"1561","60","Lady","Styx","1975"
"1562","61","Bad Time","Grand Funk","1975"
"1563","62","Only Women Bleed","Alice Cooper","1975"
"1564","63","Doctor's Orders","Carol Douglas","1975"
"1565","64","Get Down Tonight","KC and the Sunshine Band","1975"
"1566","65","One Man Woman/One Woman Man","Paul Anka & Odia Coates","1975"
"1567","66","You Are So Beautiful","Joe Cocker","1975"
"1568","67","Feel Like Makin' Love","Bad Company","1975"
"1569","68","How Sweet It Is (To Be Loved by You)","James Taylor","1975"
"1570","69","Dance with Me","Orleans","1975"
"1571","70","Cut the Cake","Average White Band","1975"
"1572","71","Never Can Say Goodbye","Gloria Gaynor","1975"
"1573","72","I Don't Like to Sleep Alone","Paul Anka","1975"
"1574","73","Morning Side of the Mountain","Donny & Marie Osmond","1975"
"1575","74","Some Kind of Wonderful","Grand Funk Railroad","1975"
"1576","75","When Will I See You Again","The Three Degrees","1975"
"1577","76","Get Down, Get Down (Get on the Floor)","Joe Simon","1975"
"1578","77","I'm Sorry","John Denver","1975"
"1579","78","Killer Queen","Queen","1975"
"1580","79","Shoeshine Boy","Eddie Kendricks","1975"
"1581","80","Do It ('Til You're Satisfied)","B.T. Express","1975"
"1582","81","Can't Get It Out of My Head","Electric Light Orchestra","1975"
"1583","82","Sha-La-La (Make Me Happy)","Al Green","1975"
"1584","83","Lonely People","America","1975"
"1585","84","You Got the Love","Rufus","1975"
"1586","85","The Rockford Files Theme","Mike Post","1975"
"1587","86","It Only Takes a Minute","Tavares","1975"
"1588","87","No No Song","Ringo Starr","1975"
"1589","88","Junior's Farm","Paul McCartney & Wings","1975"
"1590","89","Bungle in the Jungle","Jethro Tull","1975"
"1591","90","Long Tall Glasses","Leo Sayer","1975"
"1592","91","Misty","Ray Stevens","1975"
"1593","92","Someone Saved My Life Tonight","Elton John","1975"
"1594","93","Bad Blood","Neil Sedaka & Elton John","1975"
"1595","94","Only Yesterday","The Carpenters","1975"
"1596","95","I'm on Fire","Dwight Twilley Band","1975"
"1597","96","Only You (And You Alone)","Ringo Starr","1975"
"1598","97","Third Rate Romance","Amazing Rhythm Aces","1975"
"1599","98","You Ain't Seen Nothing Yet","Bachman–Turner Overdrive","1975"
"1600","99","Swearin' to God","Frankie Valli","1975"
"1601","100","Get Dancin'","Disco-Tex and the Sex-O-Lettes","1975"
"1602","1","Silly Love Songs","Wings","1976"
"1603","2","Don't Go Breaking My Heart","Elton John & Kiki Dee","1976"
"1604","3","Disco Lady","Johnnie Taylor","1976"
"1605","4","December, 1963 (Oh, What a Night)","The Four Seasons","1976"
"1606","5","Play That Funky Music","Wild Cherry","1976"
"1607","6","Kiss and Say Goodbye","The Manhattans","1976"
"1608","7","Love Machine","The Miracles","1976"
"1609","8","50 Ways to Leave Your Lover","Paul Simon","1976"
"1610","9","Love Is Alive","Gary Wright","1976"
"1611","10","A Fifth of Beethoven","Walter Murphy & The Big Apple Band","1976"
"1612","11","Sara Smile","Hall & Oates","1976"
"1613","12","Afternoon Delight","Starland Vocal Band","1976"
"1614","13","I Write the Songs","Barry Manilow","1976"
"1615","14","Fly, Robin, Fly","Silver Convention","1976"
"1616","15","Love Hangover","Diana Ross","1976"
"1617","16","Get Closer","Seals and Crofts","1976"
"1618","17","More, More, More","Andrea True Connection","1976"
"1619","18","Bohemian Rhapsody","Queen","1976"
"1620","19","Misty Blue","Dorothy Moore","1976"
"1621","20","Boogie Fever","The Sylvers","1976"
"1622","21","I'd Really Love to See You Tonight","England Dan & John Ford Coley","1976"
"1623","22","You Sexy Thing","Hot Chocolate","1976"
"1624","23","Love Hurts","Nazareth","1976"
"1625","24","Get Up and Boogie","Silver Convention","1976"
"1626","25","Take It to the Limit","Eagles","1976"
"1627","26","(Shake, Shake, Shake) Shake Your Booty","KC and the Sunshine Band","1976"
"1628","27","Sweet Love","Commodores","1976"
"1629","28","Right Back Where We Started From","Maxine Nightingale","1976"
"1630","29","Theme from S.W.A.T.","Rhythm Heritage","1976"
"1631","30","Love Rollercoaster","Ohio Players","1976"
"1632","31","You Should Be Dancing","Bee Gees","1976"
"1633","32","You'll Never Find Another Love Like Mine","Lou Rawls","1976"
"1634","33","Golden Years","David Bowie","1976"
"1635","34","Moonlight Feels Right","Starbuck","1976"
"1636","35","Only Sixteen","Dr. Hook","1976"
"1637","36","Let Your Love Flow","The Bellamy Brothers","1976"
"1638","37","Dream Weaver","Gary Wright","1976"
"1639","38","Turn the Beat Around","Vicki Sue Robinson","1976"
"1640","39","Lonely Night (Angel Face)","Captain & Tennille","1976"
"1641","40","All by Myself","Eric Carmen","1976"
"1642","41","Love to Love You Baby","Donna Summer","1976"
"1643","42","Deep Purple","Donny & Marie Osmond","1976"
"1644","43","Theme from Mahogany (Do You Know Where You're Going To)","Diana Ross","1976"
"1645","44","Sweet Thing","Rufus","1976"
"1646","45","That's the Way (I Like It)","KC and the Sunshine Band","1976"
"1647","46","A Little Bit More","Dr. Hook","1976"
"1648","47","Shannon","Henry Gross","1976"
"1649","48","If You Leave Me Now","Chicago","1976"
"1650","49","Lowdown","Boz Scaggs","1976"
"1651","50","Show Me the Way","Peter Frampton","1976"
"1652","51","Dream On","Aerosmith","1976"
"1653","52","I Love Music","The O'Jays","1976"
"1654","53","Say You Love Me","Fleetwood Mac","1976"
"1655","54","Times of Your Life","Paul Anka","1976"
"1656","55","Devil Woman","Cliff Richard","1976"
"1657","56","Fooled Around and Fell in Love","Elvin Bishop","1976"
"1658","57","Convoy","C. W. McCall","1976"
"1659","58","Welcome Back","John Sebastian","1976"
"1660","59","Sing a Song","Earth, Wind & Fire","1976"
"1661","60","Heaven Must Be Missing an Angel","Tavares","1976"
"1662","61","I'll Be Good to You","The Brothers Johnson","1976"
"1663","62","Rock and Roll Music","The Beach Boys","1976"
"1664","63","Shop Around","Captain & Tennille","1976"
"1665","64","Saturday Night","Bay City Rollers","1976"
"1666","65","Island Girl","Elton John","1976"
"1667","66","Let's Do It Again","The Staple Singers","1976"
"1668","67","Let 'Em In","Wings","1976"
"1669","68","Baby Face","Wing and a Prayer Fife and Drum Corps","1976"
"1670","69","This Masquerade","George Benson","1976"
"1671","70","Evil Woman","Electric Light Orchestra","1976"
"1672","71","Wham Bam","Silver","1976"
"1673","72","I'm Easy","Keith Carradine","1976"
"1674","73","Wake Up Everybody","Harold Melvin & the Blue Notes","1976"
"1675","74","Summer","War","1976"
"1676","75","Let Her In","John Travolta","1976"
"1677","76","Fox on the Run","Sweet","1976"
"1678","77","Rhiannon","Fleetwood Mac","1976"
"1679","78","Got to Get You into My Life","The Beatles","1976"
"1680","79","Fanny (Be Tender with My Love)","Bee Gees","1976"
"1681","80","Getaway","Earth, Wind & Fire","1976"
"1682","81","She's Gone","Hall & Oates","1976"
"1683","82","Still the One","Orleans","1976"
"1684","83","You're My Best Friend","Queen","1976"
"1685","84","With Your Love","Jefferson Starship","1976"
"1686","85","Slow Ride","Foghat","1976"
"1687","86","Who'd She Coo?","Ohio Players","1976"
"1688","87","The Boys Are Back in Town","Thin Lizzy","1976"
"1689","88","Walk Away from Love","David Ruffin","1976"
"1690","89","Baby, I Love Your Way (live)","Peter Frampton","1976"
"1691","90","Young Hearts Run Free","Candi Staton","1976"
"1692","91","Breaking Up Is Hard to Do","Neil Sedaka","1976"
"1693","92","Money Honey","Bay City Rollers","1976"
"1694","93","Give Up the Funk (Tear the Roof off the Sucker)","Parliament","1976"
"1695","94","Junk Food Junkie","Larry Groce","1976"
"1696","95","Tryin' to Get the Feeling Again","Barry Manilow","1976"
"1697","96","Rock and Roll All Nite","Kiss","1976"
"1698","97","Disco Duck","Rick Dees & His Cast of Idiots","1976"
"1699","98","Take the Money and Run","Steve Miller Band","1976"
"1700","99","Squeeze Box","The Who","1976"
"1701","100","Country Boy (You Got Your Feet in L.A.)","Glen Campbell","1976"
"1702","1","Tonight's the Night (Gonna Be Alright)","Rod Stewart","1977"
"1703","2","I Just Want to Be Your Everything","Andy Gibb","1977"
"1704","3","Best of My Love","The Emotions","1977"
"1705","4","Evergreen (Love Theme from A Star Is Born)","Barbra Streisand","1977"
"1706","5","Angel in Your Arms","Hot","1977"
"1707","6","I Like Dreamin'","Kenny Nolan","1977"
"1708","7","Don't Leave Me This Way","Thelma Houston","1977"
"1709","8","(Your Love Has Lifted Me) Higher and Higher","Rita Coolidge","1977"
"1710","9","Undercover Angel","Alan O'Day","1977"
"1711","10","Torn Between Two Lovers","Mary MacGregor","1977"
"1712","11","I'm Your Boogie Man","KC and the Sunshine Band","1977"
"1713","12","Dancing Queen","ABBA","1977"
"1714","13","You Make Me Feel Like Dancing","Leo Sayer","1977"
"1715","14","Margaritaville","Jimmy Buffett","1977"
"1716","15","Telephone Line","Electric Light Orchestra","1977"
"1717","16","Whatcha Gonna Do?","Pablo Cruise","1977"
"1718","17","Do You Wanna Make Love","Peter McCann","1977"
"1719","18","Sir Duke","Stevie Wonder","1977"
"1720","19","Hotel California","Eagles","1977"
"1721","20","Got to Give It Up","Marvin Gaye","1977"
"1722","21","Gonna Fly Now","Bill Conti, DeEtta Little and Nelson Pigford","1977"
"1723","22","Southern Nights","Glen Campbell","1977"
"1724","23","Rich Girl","Hall & Oates","1977"
"1725","24","When I Need You","Leo Sayer","1977"
"1726","25","Hot Line","The Sylvers","1977"
"1727","26","Car Wash","Rose Royce","1977"
"1728","27","You Don't Have to Be a Star (To Be in My Show)","Marilyn McCoo & Billy Davis Jr.","1977"
"1729","28","Fly Like an Eagle","Steve Miller Band","1977"
"1730","29","Don't Give Up on Us","David Soul","1977"
"1731","30","On and On","Stephen Bishop","1977"
"1732","31","Feels Like the First Time","Foreigner","1977"
"1733","32","Couldn't Get It Right","Climax Blues Band","1977"
"1734","33","Easy","Commodores","1977"
"1735","34","Right Time of the Night","Jennifer Warnes","1977"
"1736","35","I've Got Love on My Mind","Natalie Cole","1977"
"1737","36","Blinded by the Light","Manfred Mann's Earth Band","1977"
"1738","37","Looks Like We Made It","Barry Manilow","1977"
"1739","38","So In to You","Atlanta Rhythm Section","1977"
"1740","39","Dreams","Fleetwood Mac","1977"
"1741","40","Enjoy Yourself","The Jacksons","1977"
"1742","41","Dazz","Brick","1977"
"1743","42","I'm in You","Peter Frampton","1977"
"1744","43","Lucille","Kenny Rogers","1977"
"1745","44","The Things We Do for Love","10cc","1977"
"1746","45","Da Doo Ron Ron","Shaun Cassidy","1977"
"1747","46","Handy Man","James Taylor","1977"
"1748","47","Just a Song Before I Go","Crosby, Stills & Nash","1977"
"1749","48","You and Me","Alice Cooper","1977"
"1750","49","Swayin' to the Music (Slow Dancing)","Johnny Rivers","1977"
"1751","50","Lonely Boy","Andrew Gold","1977"
"1752","51","I Wish","Stevie Wonder","1977"
"1753","52","Don't Stop","Fleetwood Mac","1977"
"1754","53","Barracuda","Heart","1977"
"1755","54","Strawberry Letter 23","The Brothers Johnson","1977"
"1756","55","Night Moves","Bob Seger & The Silver Bullet Band","1977"
"1757","56","You're My World","Helen Reddy","1977"
"1758","57","Heard It in a Love Song","The Marshall Tucker Band","1977"
"1759","58","Carry On Wayward Son","Kansas","1977"
"1760","59","New Kid in Town","Eagles","1977"
"1761","60","My Heart Belongs to Me","Barbra Streisand","1977"
"1762","61","After the Lovin'","Engelbert Humperdinck","1977"
"1763","62","Jet Airliner","Steve Miller Band","1977"
"1764","63","Stand Tall","Burton Cummings","1977"
"1765","64","Way Down","Elvis Presley","1977"
"1766","65","Weekend in New England","Barry Manilow","1977"
"1767","66","It Was Almost Like a Song","Ronnie Milsap","1977"
"1768","67","Smoke from a Distant Fire","Sanford-Townsend Band","1977"
"1769","68","Cold as Ice","Foreigner","1977"
"1770","69","Ariel","Dean Friedman","1977"
"1771","70","Lost Without Your Love","Bread","1977"
"1772","71","Star Wars Theme/Cantina Band","Meco","1977"
"1773","72","Float On","The Floaters","1977"
"1774","73","Jeans On","Lord David Dundas","1977"
"1775","74","Lido Shuffle","Boz Scaggs","1977"
"1776","75","Keep It Comin' Love","KC and the Sunshine Band","1977"
"1777","76","You Made Me Believe in Magic","Bay City Rollers","1977"
"1778","77","Livin' Thing","Electric Light Orchestra","1977"
"1779","78","Give a Little Bit","Supertramp","1977"
"1780","79","That's Rock 'n' Roll","Shaun Cassidy","1977"
"1781","80","Love So Right","Bee Gees","1977"
"1782","81","The Rubberband Man","The Spinners","1977"
"1783","82","I Never Cry","Alice Cooper","1977"
"1784","83","Nobody Does It Better","Carly Simon","1977"
"1785","84","High School Dance","The Sylvers","1977"
"1786","85","Love's Grown Deep","Kenny Nolan","1977"
"1787","86","Ain't Gonna Bump No More (With No Big Fat Woman)","Joe Tex","1977"
"1788","87","I Wanna Get Next to You","Rose Royce","1977"
"1789","88","Somebody to Love","Queen","1977"
"1790","89","Muskrat Love","Captain & Tennille","1977"
"1791","90","Walk This Way","Aerosmith","1977"
"1792","91","Cherchez La Femme","Dr. Buzzard's Original Savannah Band","1977"
"1793","92","Year of the Cat","Al Stewart","1977"
"1794","93","Boogie Nights","Heatwave","1977"
"1795","94","Go Your Own Way","Fleetwood Mac","1977"
"1796","95","Sorry Seems to Be the Hardest Word","Elton John","1977"
"1797","96","Don't Worry Baby","B.J. Thomas","1977"
"1798","97","Knowing Me, Knowing You","ABBA","1977"
"1799","98","How Much Love","Leo Sayer","1977"
"1800","99","Star Wars (Main Title)","London Symphony Orchestra","1977"
"1801","100","Devil's Gun","C.J. & Company","1977"
"1802","1","Shadow Dancing","Andy Gibb","1978"
"1803","2","Night Fever","Bee Gees","1978"
"1804","3","You Light Up My Life","Debby Boone","1978"
"1805","4","Stayin' Alive","Bee Gees","1978"
"1806","5","Kiss You All Over","Exile","1978"
"1807","6","How Deep Is Your Love","Bee Gees","1978"
"1808","7","Baby Come Back","Player","1978"
"1809","8","(Love Is) Thicker Than Water","Andy Gibb","1978"
"1810","9","Boogie Oogie Oogie","A Taste of Honey","1978"
"1811","10","Three Times a Lady","Commodores","1978"
"1812","11","Grease","Frankie Valli","1978"
"1813","12","I Go Crazy","Paul Davis","1978"
"1814","13","You're the One That I Want","John Travolta & Olivia Newton-John","1978"
"1815","14","Emotion","Samantha Sang","1978"
"1816","15","Lay Down Sally","Eric Clapton","1978"
"1817","16","Miss You","The Rolling Stones","1978"
"1818","17","Just the Way You Are","Billy Joel","1978"
"1819","18","With a Little Luck","Wings","1978"
"1820","19","If I Can't Have You","Yvonne Elliman","1978"
"1821","20","Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)","Chic","1978"
"1822","21","Feels So Good","Chuck Mangione","1978"
"1823","22","Hot Child in the City","Nick Gilder","1978"
"1824","23","Love Is Like Oxygen","Sweet","1978"
"1825","24","It's a Heartache","Bonnie Tyler","1978"
"1826","25","We Will Rock You/We Are the Champions","Queen","1978"
"1827","26","Baker Street","Gerry Rafferty","1978"
"1828","27","Can't Smile Without You","Barry Manilow","1978"
"1829","28","Too Much, Too Little, Too Late","Johnny Mathis & Deniece Williams","1978"
"1830","29","Dance With Me","Peter Brown","1978"
"1831","30","Two Out of Three Ain't Bad","Meat Loaf","1978"
"1832","31","Jack And Jill","Raydio","1978"
"1833","32","Take a Chance on Me","ABBA","1978"
"1834","33","Sometimes When We Touch","Dan Hill","1978"
"1835","34","Last Dance","Donna Summer","1978"
"1836","35","Hopelessly Devoted to You","Olivia Newton-John","1978"
"1837","36","Hot Blooded","Foreigner","1978"
"1838","37","You're in My Heart (The Final Acclaim)","Rod Stewart","1978"
"1839","38","The Closer I Get to You","Roberta Flack & Donny Hathaway","1978"
"1840","39","Dust in the Wind","Kansas","1978"
"1841","40","Magnet and Steel","Walter Egan","1978"
"1842","41","Short People","Randy Newman","1978"
"1843","42","Use ta Be My Girl","The O'Jays","1978"
"1844","43","Our Love","Natalie Cole","1978"
"1845","44","Love Will Find a Way","Pablo Cruise","1978"
"1846","45","An Everlasting Love","Andy Gibb","1978"
"1847","46","Love Is in the Air","John Paul Young","1978"
"1848","47","Goodbye Girl","David Gates","1978"
"1849","48","Slip Slidin' Away","Paul Simon","1978"
"1850","49","The Groove Line","Heatwave","1978"
"1851","50","Thunder Island","Jay Ferguson","1978"
"1852","51","Imaginary Lover","Atlanta Rhythm Section","1978"
"1853","52","Still the Same","Bob Seger & The Silver Bullet Band","1978"
"1854","53","My Angel Baby","Toby Beau","1978"
"1855","54","Disco Inferno","The Trammps","1978"
"1856","55","On Broadway","George Benson","1978"
"1857","56","Come Sail Away","Styx","1978"
"1858","57","(Every Time I Turn Around) Back in Love Again","L.T.D.","1978"
"1859","58","This Time I'm in It for Love","Player","1978"
"1860","59","You Belong to Me","Carly Simon","1978"
"1861","60","Here You Come Again","Dolly Parton","1978"
"1862","61","Blue Bayou","Linda Ronstadt","1978"
"1863","62","Peg","Steely Dan","1978"
"1864","63","You Needed Me","Anne Murray","1978"
"1865","64","Shame","Evelyn ""Champagne"" King","1978"
"1866","65","Reminiscing","Little River Band","1978"
"1867","66","Count On Me","Jefferson Starship","1978"
"1868","67","Baby Hold On","Eddie Money","1978"
"1869","68","Hey Deanie","Shaun Cassidy","1978"
"1870","69","Summer Nights","John Travolta & Olivia Newton-John","1978"
"1871","70","What's Your Name","Lynyrd Skynyrd","1978"
"1872","71","Don't It Make My Brown Eyes Blue","Crystal Gayle","1978"
"1873","72","Because the Night","Patti Smith Group","1978"
"1874","73","Every Kinda People","Robert Palmer","1978"
"1875","74","Copacabana","Barry Manilow","1978"
"1876","75","Always and Forever","Heatwave","1978"
"1877","76","You and I","Rick James","1978"
"1878","77","Serpentine Fire","Earth, Wind & Fire","1978"
"1879","78","Sentimental Lady","Bob Welch","1978"
"1880","79","Falling","LeBlanc & Carr","1978"
"1881","80","Don't Let Me Be Misunderstood","Santa Esmeralda","1978"
"1882","81","Bluer Than Blue","Michael Johnson","1978"
"1883","82","Running on Empty","Jackson Browne","1978"
"1884","83","Whenever I Call You 'Friend'","Kenny Loggins & Stevie Nicks","1978"
"1885","84","Fool (If You Think It's Over)","Chris Rea","1978"
"1886","85","Get Off","Foxy","1978"
"1887","86","Sweet Talkin' Woman","Electric Light Orchestra","1978"
"1888","87","Life's Been Good","Joe Walsh","1978"
"1889","88","I Love the Nightlife","Alicia Bridges","1978"
"1890","89","You Can't Turn Me Off (In The Middle Of Turning Me On)","High Inergy","1978"
"1891","90","It's So Easy","Linda Ronstadt","1978"
"1892","91","Native New Yorker","Odyssey","1978"
"1893","92","Flash Light","Parliament","1978"
"1894","93","Don't Look Back","Boston","1978"
"1895","94","Turn to Stone","Electric Light Orchestra","1978"
"1896","95","I Can't Stand the Rain","Eruption","1978"
"1897","96","Ebony Eyes","Bob Welch","1978"
"1898","97","The Name of the Game","ABBA","1978"
"1899","98","We're All Alone","Rita Coolidge","1978"
"1900","99","Hollywood Nights","Bob Seger & The Silver Bullet Band","1978"
"1901","100","Deacon Blues","Steely Dan","1978"
"1902","1","My Sharona","The Knack","1979"
"1903","2","Bad Girls","Donna Summer","1979"
"1904","3","Le Freak","Chic","1979"
"1905","4","Da Ya Think I'm Sexy?","Rod Stewart","1979"
"1906","5","Reunited","Peaches & Herb","1979"
"1907","6","I Will Survive","Gloria Gaynor","1979"
"1908","7","Hot Stuff","Donna Summer","1979"
"1909","8","Y.M.C.A.","Village People","1979"
"1910","9","Ring My Bell","Anita Ward","1979"
"1911","10","Sad Eyes","Robert John","1979"
"1912","11","Too Much Heaven","Bee Gees","1979"
"1913","12","MacArthur Park","Donna Summer","1979"
"1914","13","When You're in Love with a Beautiful Woman","Dr. Hook","1979"
"1915","14","Makin' It","David Naughton","1979"
"1916","15","Fire","The Pointer Sisters","1979"
"1917","16","Tragedy","Bee Gees","1979"
"1918","17","A Little More Love","Olivia Newton-John","1979"
"1919","18","Heart of Glass","Blondie","1979"
"1920","19","What a Fool Believes","The Doobie Brothers","1979"
"1921","20","Good Times","Chic","1979"
"1922","21","You Don't Bring Me Flowers","Neil Diamond & Barbra Streisand","1979"
"1923","22","Knock on Wood","Amii Stewart","1979"
"1924","23","Stumblin' In","Suzi Quatro & Chris Norman","1979"
"1925","24","Lead Me On","Maxine Nightingale","1979"
"1926","25","Shake Your Body (Down to the Ground)","The Jacksons","1979"
"1927","26","Don't Cry Out Loud","Melissa Manchester","1979"
"1928","27","The Logical Song","Supertramp","1979"
"1929","28","My Life","Billy Joel","1979"
"1930","29","Just When I Needed You Most","Randy VanWarmer","1979"
"1931","30","You Can't Change That","Raydio","1979"
"1932","31","Shake Your Groove Thing","Peaches & Herb","1979"
"1933","32","I'll Never Love This Way Again","Dionne Warwick","1979"
"1934","33","Love You Inside Out","Bee Gees","1979"
"1935","34","I Want You to Want Me","Cheap Trick","1979"
"1936","35","The Main Event/Fight","Barbra Streisand","1979"
"1937","36","Mama Can't Buy You Love","Elton John","1979"
"1938","37","I Was Made for Dancin'","Leif Garrett","1979"
"1939","38","After the Love Has Gone","Earth, Wind & Fire","1979"
"1940","39","Heaven Knows","Donna Summer and Brooklyn Dreams","1979"
"1941","40","The Gambler","Kenny Rogers","1979"
"1942","41","Lotta Love","Nicolette Larson","1979"
"1943","42","Lady","Little River Band","1979"
"1944","43","Heaven Must Have Sent You","Bonnie Pointer","1979"
"1945","44","Hold the Line","Toto","1979"
"1946","45","He's the Greatest Dancer","Sister Sledge","1979"
"1947","46","Sharing the Night Together","Dr. Hook & The Medicine Show","1979"
"1948","47","She Believes in Me","Kenny Rogers","1979"
"1949","48","In the Navy","Village People","1979"
"1950","49","Music Box Dancer","Frank Mills","1979"
"1951","50","The Devil Went Down to Georgia","The Charlie Daniels Band","1979"
"1952","51","Gold","John Stewart","1979"
"1953","52","Goodnight Tonight","Wings","1979"
"1954","53","We Are Family","Sister Sledge","1979"
"1955","54","Rock 'n' Roll Fantasy","Bad Company","1979"
"1956","55","Every 1's a Winner","Hot Chocolate","1979"
"1957","56","Take Me Home","Cher","1979"
"1958","57","Boogie Wonderland","Earth, Wind & Fire & The Emotions","1979"
"1959","58","(Our Love) Don't Throw It All Away","Andy Gibb","1979"
"1960","59","What You Won't Do for Love","Bobby Caldwell","1979"
"1961","60","New York Groove","Ace Frehley","1979"
"1962","61","Sultans of Swing","Dire Straits","1979"
"1963","62","I Want Your Love","Chic","1979"
"1964","63","Chuck E.'s In Love","Rickie Lee Jones","1979"
"1965","64","I Love the Nightlife","Alicia Bridges","1979"
"1966","65","Ain't No Stoppin' Us Now","McFadden & Whitehead","1979"
"1967","66","Lonesome Loser","Little River Band","1979"
